;mean;se;bias;cp;;mean;sd;bias;cp
286;4,954702552;2,029005658;0,651567517;1;;;;;
287;1,672924755;1,002627114;-0,442358415;1;;;;;
288;1,048515497;0,884304776;-0,650494834;0;;;;;
289;1,979174998;0,999501129;-0,340275001;1;;;;;
290;3,872796926;1,667054383;0,290932309;1;;;;;
291;1,90832912;1,024042575;-0,363890293;1;;;;;
292;1,253450871;0,983467098;-0,582183043;1;;;;;
293;2,325474941;1,131166349;-0,224841686;1;;;;;
294;2,553660862;1,317517924;-0,148779713;1;;;;;
295;1,429100131;0,958917814;-0,52363329;1;;;;;
296;0,425825139;1,064947809;-0,858058287;0;;;;;
297;4,299820642;1,831681172;0,433273547;1;;;;;
298;5,880193226;2,701480461;0,960064409;1;;;;;
299;2,334658403;1,147476;-0,221780532;1;;;;;
300;1,740658462;1,133201053;-0,419780513;1;;;;;
301;3,513146273;1,507640052;0,171048758;1;;;;;
302;3,887558848;1,734863796;0,295852949;1;;;;;
303;5,256879837;2,196192452;0,752293279;1;;;;;
304;2,669075275;1,288443812;-0,110308242;1;;;;;
305;4,548605831;1,951149928;0,516201944;1;;;;;
306;2,973795573;1,588690757;-0,008734809;1;;;;;
307;0,892210812;0,85047126;-0,702596396;0;;;;;
308;1,410345979;0,947274901;-0,529884674;1;;;;;
309;2,398784817;1,207016186;-0,200405061;1;;;;;
310;4,015760362;1,831141218;0,338586787;1;;;;;
311;1,892313218;1,211617061;-0,369228927;1;;;;;
312;4,381291039;2,080510796;0,460430346;1;;;;;
313;1,395354286;0,83897202;-0,534881905;1;;;;;
314;3,25433876;1,615371627;0,084779587;1;;;;;
315;2,1112815;1,163353232;-0,2962395;1;;;;;
316;1,922604563;1,004334237;-0,359131812;1;;;;;
317;0,645441237;0,768969327;-0,784852921;0;;;;;
318;4,82823592;1,939973203;0,609411973;1;;;;;
319;2,60256447;1,401563605;-0,13247851;1;;;;;
320;4,128367146;1,860324115;0,376122382;1;;;;;
321;2,051374912;1,229043583;-0,316208363;1;;;;;
322;5,117291576;2,125916853;0,705763859;1;;;;;
323;7,919373289;3,537541429;1,639791096;1;;;;;
324;3,927309072;1,909383999;0,309103024;1;;;;;
325;4,351047576;1,973915047;0,450349192;1;;;;;
326;3,154734495;1,524387671;0,051578165;1;;;;;
327;2,353971765;1,166579199;-0,215342745;1;;;;;
328;2,9754764;1,510497649;-0,008174533;1;;;;;
329;4,191209626;1,835127961;0,397069875;1;;;;;
330;3,269268399;1,444734918;0,089756133;1;;;;;
331;2,806593174;1,361947673;-0,064468942;1;;;;;
332;3,072157078;1,296812369;0,024052359;1;;;;;
333;1,633401064;1,075035006;-0,455532979;1;;;;;
334;7,550524716;3,250344528;1,516841572;1;;;;;
335;2,590762375;1,436722462;-0,136412542;1;;;;;
336;8,363169302;3,446537898;1,787723101;1;;;;;
337;3,858228658;1,766081641;0,286076219;1;;;;;
338;2,298922299;1,316673671;-0,233692567;1;;;;;
339;4,606960938;2,169146805;0,535653646;1;;;;;
340;3,192168127;1,494530621;0,064056042;1;;;;;
341;2,085207029;1,248637119;-0,30493099;1;;;;;
342;1,373688544;0,86582275;-0,542103819;1;;;;;
343;2,40547898;1,367765835;-0,198173673;1;;;;;
344;6,441527409;2,647812314;1,147175803;1;;;;;
345;4,787063568;2,063487157;0,595687856;1;;;;;
346;3,951367021;1,92801107;0,31712234;1;;;;;
347;1,787502219;1,032053255;-0,404165927;1;;;;;
348;3,691685406;1,983566484;0,230561802;1;;;;;
349;2,878771651;1,273704669;-0,04040945;1;;;;;
350;3,293969534;1,406005537;0,097989845;1;;;;;
351;5,438210407;2,280343077;0,812736802;1;;;;;
352;3,356979837;1,533367252;0,118993279;1;;;;;
353;1,415623143;1,254395519;-0,528125619;1;;;;;
354;6,042056641;2,749575419;1,01401888;1;;;;;
355;4,507161119;1,764594;0,50238704;1;;;;;
356;2,153657905;1,044187514;-0,282114032;1;;;;;
357;4,488341866;1,854607928;0,496113955;1;;;;;
358;4,867312836;2,050644892;0,622437612;1;;;;;
359;2,356165192;1,243252393;-0,214611603;1;;;;;
360;3,066680434;1,343750081;0,022226811;1;;;;;
361;4,437420111;1,87106138;0,479140037;1;;;;;
362;2,107577885;1,208997217;-0,297474038;1;;;;;
363;4,366672745;2,017707704;0,455557582;1;;;;;
364;1,747418054;1,112731315;-0,417527315;1;;;;;
365;3,742801945;1,880509278;0,247600648;1;;;;;
366;1,947348112;1,049920399;-0,350883963;1;;;;;
367;4,581258983;1,680663408;0,527086328;1;;;;;
368;8,073153819;3,168486759;1,691051273;1;;;;;
369;1,365341011;0,959295262;-0,54488633;1;;;;;
370;7,1147734;3,093095684;1,371591133;1;;;;;
371;5,254054791;2,218545133;0,751351597;1;;;;;
372;3,767629855;1,828334389;0,255876618;1;;;;;
373;4,294801201;1,86249992;0,4316004;1;;;;;
374;3,305302716;1,543480581;0,101767572;1;;;;;
375;4,836175951;1,989168075;0,61205865;1;;;;;
376;3,266029408;1,616950443;0,088676469;1;;;;;
377;4,127581059;1,604592051;0,375860353;1;;;;;
378;5,314373486;2,16944581;0,771457829;1;;;;;
379;6,401289332;2,678385545;1,133763111;1;;;;;
380;5,753791072;2,378852906;0,917930357;1;;;;;
381;3,752657025;1,597881582;0,250885675;1;;;;;
382;3,15039216;1,472302329;0,05013072;1;;;;;
383;5,031479059;2,378495851;0,677159686;1;;;;;
384;3,549421589;1,68022725;0,18314053;1;;;;;
385;2,680007618;1,370862731;-0,106664127;1;;;;;
386;1,265918767;0,97129881;-0,578027078;1;;;;;
387;5,452527362;1,970101263;0,817509121;1;;;;;
388;2,060242473;1,199856821;-0,313252509;1;;;;;
389;2,264886292;1,140849742;-0,245037903;1;;;;;
390;2,722150291;1,82217219;-0,09261657;1;;;;;
391;2,683876819;1,282547841;-0,105374394;1;;;;;
392;3,955012807;1,677079848;0,318337602;1;;;;;
393;1,95590698;1,056046764;-0,348031007;1;;;;;
394;2,068883431;1,354469503;-0,31037219;1;;;;;
395;3,708139004;1,77763097;0,236046335;1;;;;;
396;2,248598717;1,370901248;-0,250467094;1;;;;;
397;2,496973313;1,467754385;-0,167675562;1;;;;;
398;5,600026496;2,556840089;0,866675499;1;;;;;
399;2,71907756;1,517740489;-0,093640813;1;;;;;
400;0,895514704;1,318404784;-0,701495099;1;;;;;
401;2,41183169;1,165567183;-0,196056103;1;;;;;
402;2,801599564;1,367006664;-0,066133479;1;;;;;
403;3,130948927;1,308859214;0,043649642;1;;;;;
404;1,819262096;1,022629532;-0,393579301;1;;;;;
405;1,043989308;0,854810307;-0,652003564;0;;;;;
406;3,768792499;1,627671632;0,256264166;1;;;;;
407;3,725973243;1,802703025;0,241991081;1;;;;;
408;3,191580322;1,496686536;0,063860107;1;;;;;
409;1,908757141;1,049663001;-0,36374762;1;;;;;
410;2,504885086;1,387593013;-0,165038305;1;;;;;
411;3,440279555;1,492282254;0,146759852;1;;;;;
412;4,133904491;2,029043738;0,377968164;1;;;;;
413;2,469205089;1,106401304;-0,176931637;1;;;;;
414;2,911735911;1,607782227;-0,029421363;1;;;;;
415;6,12501499;2,667640476;1,041671663;1;;;;;
416;1,443957563;0,987635786;-0,518680812;1;;;;;
417;3,585739447;1,511012007;0,195246482;1;;;;;
418;3,187438224;1,455839766;0,062479408;1;;;;;
419;2,404380052;1,155205409;-0,198539983;1;;;;;
420;3,125786977;1,293877934;0,041928992;1;;;;;
421;4,868929661;2,027665221;0,622976554;1;;;;;
422;3,364304001;1,417655528;0,121434667;1;;;;;
423;2,775376192;1,355535327;-0,074874603;1;;;;;
