;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
171;0,90627807;1,112552917;-0,69790731;1;;;;;;;;;;;;;
172;4,17600629;2,745487438;0,392002097;1;;;;;;;;;;;;;
173;2,861989859;2,36188192;-0,04600338;1;;;;;;;;;;;;;
174;11,34081309;5,702661473;2,78027103;1;;;;;;;;;;;;;
175;2,712250461;1,770835167;-0,095916513;1;;;;;;;;;;;;;
176;3,00966043;1,928927508;0,003220143;1;;;;;;;;;;;;;
177;3,160332058;2,046091004;0,053444019;1;;;;;;;;;;;;;
178;5,158559276;2,976965432;0,719519759;1;;;;;;;;;;;;;
179;5,256526766;2,900163467;0,752175589;1;;;;;;;;;;;;;
180;1,875768231;1,570367214;-0,374743923;1;;;;;;;;;;;;;
181;8,072102185;4,311318842;1,690700728;1;;;;;;;;;;;;;
182;3,823774481;2,569388603;0,274591494;1;;;;;;;;;;;;;
183;1,905833244;1,254138738;-0,364722252;1;;;;;;;;;;;;;
184;2,811454788;2,171716496;-0,062848404;1;;;;;;;;;;;;;
185;5,569934784;2,896734767;0,856644928;1;;;;;;;;;;;;;
186;6,43087393;3,691537961;1,143624643;1;;;;;;;;;;;;;
187;1,706151295;1,616428934;-0,431282902;1;;;;;;;;;;;;;
188;6,047438483;3,314145975;1,015812828;1;;;;;;;;;;;;;
189;4,837235576;2,684938009;0,612411859;1;;;;;;;;;;;;;
190;0,091546864;0,238624032;-0,969484379;0;;;;;;;;;;;;;
191;0,819814191;0,915328902;-0,726728603;0;;;;;;;;;;;;;
192;1,996162024;1,692878708;-0,334612659;1;;;;;;;;;;;;;
193;3,724967061;2,447219639;0,241655687;1;;;;;;;;;;;;;
194;5,707650156;3,185249989;0,902550052;1;;;;;;;;;;;;;
195;3,546448833;2,44408866;0,182149611;1;;;;;;;;;;;;;
196;2,28874027;1,538206467;-0,237086577;1;;;;;;;;;;;;;
197;4,093268287;2,357424915;0,364422762;1;;;;;;;;;;;;;
198;3,814129208;2,260515805;0,271376403;1;;;;;;;;;;;;;
199;5,455047271;2,874827284;0,81834909;1;;;;;;;;;;;;;
200;3,328583731;1,95799727;0,10952791;1;;;;;;;;;;;;;
201;2,950875314;1,684333405;-0,016374895;1;;;;;;;;;;;;;
202;2,537881352;1,438201308;-0,154039549;1;;;;;;;;;;;;;
203;3,80326039;2,159218143;0,267753463;1;;;;;;;;;;;;;
204;2,773362184;1,575731531;-0,075545939;1;;;;;;;;;;;;;
205;7,03169149;3,664000895;1,343897163;1;;;;;;;;;;;;;
206;1,63934628;1,43215263;-0,45355124;1;;;;;;;;;;;;;
207;0,63542558;0,851058968;-0,788191473;0;;;;;;;;;;;;;
208;8,57376216;4,398488761;1,85792072;1;;;;;;;;;;;;;
209;4,139289473;2,139044436;0,379763158;1;;;;;;;;;;;;;
210;4,525037595;2,263217868;0,508345865;1;;;;;;;;;;;;;
211;0,92415761;1,220305436;-0,691947463;1;;;;;;;;;;;;;
212;7,065502566;4,061859578;1,355167522;1;;;;;;;;;;;;;
213;5,329229131;2,74979579;0,77640971;1;;;;;;;;;;;;;
214;1,349706631;1,13094918;-0,55009779;1;;;;;;;;;;;;;
215;3,936845295;2,544043842;0,312281765;1;;;;;;;;;;;;;
216;2,765534627;1,888462305;-0,078155124;1;;;;;;;;;;;;;
217;0,036791073;0,074316203;-0,987736309;0;;;;;;;;;;;;;
218;10,92960144;4,965168412;2,64320048;1;;;;;;;;;;;;;
219;8,518146846;3,9848362;1,839382282;1;;;;;;;;;;;;;
220;0,096551019;0,306937558;-0,967816327;0;;;;;;;;;;;;;
221;3,632281076;2,112285984;0,210760359;1;;;;;;;;;;;;;
222;0,926459717;1,234126564;-0,691180094;1;;;;;;;;;;;;;
223;3,919943866;2,189677912;0,306647955;1;;;;;;;;;;;;;
224;4,079426953;2,235892481;0,359808984;1;;;;;;;;;;;;;
225;1,89711456;1,464494311;-0,36762848;1;;;;;;;;;;;;;
226;2,038055657;1,144761706;-0,320648114;1;;;;;;;;;;;;;
227;3,201035519;1,771735815;0,06701184;1;;;;;;;;;;;;;
228;4,010874429;2,833319537;0,336958143;1;;;;;;;;;;;;;
229;5,178676121;3,14409257;0,726225374;1;;;;;;;;;;;;;
230;6,279413497;4,134526471;1,093137832;1;;;;;;;;;;;;;
231;3,072770103;1,768884814;0,024256701;1;;;;;;;;;;;;;
232;6,482484516;3,737088489;1,160828172;1;;;;;;;;;;;;;
233;2,569455408;1,957769605;-0,143514864;1;;;;;;;;;;;;;
234;5,937108745;3,072394087;0,979036248;1;;;;;;;;;;;;;
235;3,416163912;1,873312942;0,138721304;1;;;;;;;;;;;;;
236;11,16884404;5,619655297;2,722948014;1;;;;;;;;;;;;;
237;3,62331086;2,091512551;0,207770287;1;;;;;;;;;;;;;
238;3,819334192;2,100590603;0,273111397;1;;;;;;;;;;;;;
239;6,630464217;3,547583055;1,210154739;1;;;;;;;;;;;;;
240;4,029998944;2,241971449;0,343332981;1;;;;;;;;;;;;;
241;2,564052534;1,632242289;-0,145315822;1;;;;;;;;;;;;;
242;4,268409858;2,642170539;0,422803286;1;;;;;;;;;;;;;
243;0,639193808;0,987581876;-0,786935397;0;;;;;;;;;;;;;
244;5,896272771;2,883483135;0,965424257;1;;;;;;;;;;;;;
245;6,659350523;3,139938982;1,219783508;1;;;;;;;;;;;;;
246;1,540699649;1,403007119;-0,48643345;1;;;;;;;;;;;;;
247;2,135592946;1,501433822;-0,288135685;1;;;;;;;;;;;;;
248;8,602220025;4,317489108;1,867406675;1;;;;;;;;;;;;;
249;4,569852986;3,045883681;0,523284329;1;;;;;;;;;;;;;
250;1,55075442;1,391722568;-0,48308186;1;;;;;;;;;;;;;
251;3,537791064;2,348938316;0,179263688;1;;;;;;;;;;;;;
252;2,654673567;1,568232419;-0,115108811;1;;;;;;;;;;;;;
253;8,262368654;4,75035175;1,754122885;1;;;;;;;;;;;;;
254;3,772703895;2,516026733;0,257567965;1;;;;;;;;;;;;;
255;1,182884446;0,935637945;-0,605705185;1;;;;;;;;;;;;;
256;9,088824165;4,320010775;2,029608055;1;;;;;;;;;;;;;
257;1,684861139;1,165595839;-0,43837962;1;;;;;;;;;;;;;
258;1,802314278;1,480752721;-0,399228574;1;;;;;;;;;;;;;
259;5,50200645;2,636560407;0,83400215;1;;;;;;;;;;;;;
260;3,32177348;1,949980867;0,107257827;1;;;;;;;;;;;;;
261;1,867130972;1,337410854;-0,377623009;1;;;;;;;;;;;;;
262;4,657362631;2,687317084;0,55245421;1;;;;;;;;;;;;;
263;9,459058944;5,272190308;2,153019648;1;;;;;;;;;;;;;
264;3,699535531;2,326140354;0,23317851;1;;;;;;;;;;;;;
265;9,624829333;4,900167266;2,208276444;1;;;;;;;;;;;;;
266;4,335750579;2,940162853;0,445250193;1;;;;;;;;;;;;;
267;10,04834322;5,763569242;2,349447739;1;;;;;;;;;;;;;
268;4,293660128;2,471450089;0,431220043;1;;;;;;;;;;;;;
269;3,226839978;1,916854272;0,075613326;1;;;;;;;;;;;;;
270;1,530615435;1,391800676;-0,489794855;1;;;;;;;;;;;;;
271;3,514719273;2,24973544;0,171573091;1;;;;;;;;;;;;;
272;2,184264745;1,746213214;-0,271911752;1;;;;;;;;;;;;;
273;0,913595863;1,163744006;-0,695468046;1;;;;;;;;;;;;;
274;5,434818589;2,677547133;0,811606196;1;;;;;;;;;;;;;
275;2,231974355;1,695543117;-0,256008548;1;;;;;;;;;;;;;
276;5,403809086;2,85719555;0,801269695;1;;;;;;;;;;;;;
277;5,540414961;3,258731045;0,846804987;1;;;;;;;;;;;;;
278;4,772603959;2,504547608;0,590867986;1;;;;;;;;;;;;;
