;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
120;0,384160022;0,137095403;-0,231679956;1;;;;;;;;;;;;;
121;0,680322285;0,179994994;0,360644571;1;;;;;;;;;;;;;
122;0,710871278;0,222719029;0,421742557;1;;;;;;;;;;;;;
123;0,26847813;0,105052195;-0,463043741;0;;;;;;;;;;;;;
124;0,298349574;0,092214054;-0,403300852;0;;;;;;;;;;;;;
125;0,508922208;0,188160913;0,017844416;1;;;;;;;;;;;;;
126;0,532827106;0,222294517;0,065654212;1;;;;;;;;;;;;;
127;0,646223416;0,180386579;0,292446833;1;;;;;;;;;;;;;
128;0,606823554;0,18761409;0,213647109;1;;;;;;;;;;;;;
129;0,505347031;0,155905675;0,010694062;1;;;;;;;;;;;;;
130;0,410049541;0,150338431;-0,179900918;1;;;;;;;;;;;;;
131;0,45673212;0,166528564;-0,086535761;1;;;;;;;;;;;;;
132;0,651378825;0,208512457;0,302757649;1;;;;;;;;;;;;;
133;0,848865503;0,27746652;0,697731006;1;;;;;;;;;;;;;
134;0,302574887;0,106919955;-0,394850225;1;;;;;;;;;;;;;
135;0,652612931;0,196352053;0,305225862;1;;;;;;;;;;;;;
136;0,311720752;0,114975952;-0,376558495;1;;;;;;;;;;;;;
137;0,255412404;0,113749079;-0,489175193;0;;;;;;;;;;;;;
138;0,421168858;0,14292941;-0,157662284;1;;;;;;;;;;;;;
139;0,515354954;0,160328359;0,030709907;1;;;;;;;;;;;;;
140;0,464336186;0,142101817;-0,071327628;1;;;;;;;;;;;;;
141;0,564739525;0,166520494;0,12947905;1;;;;;;;;;;;;;
142;0,542457985;0,172774835;0,08491597;1;;;;;;;;;;;;;
143;0,616553594;0,206775777;0,233107189;1;;;;;;;;;;;;;
144;0,861912608;0,294964617;0,723825216;1;;;;;;;;;;;;;
145;0,369790143;0,119202797;-0,260419714;1;;;;;;;;;;;;;
146;0,468137195;0,155544098;-0,06372561;1;;;;;;;;;;;;;
147;0,348752039;0,126151452;-0,302495922;1;;;;;;;;;;;;;
148;0,431128171;0,136082264;-0,137743658;1;;;;;;;;;;;;;
149;0,590224282;0,206747561;0,180448565;1;;;;;;;;;;;;;
150;0,716090984;0,261384258;0,432181968;1;;;;;;;;;;;;;
151;0,431139107;0,139083762;-0,137721785;1;;;;;;;;;;;;;
152;0,326076565;0,118442349;-0,34784687;1;;;;;;;;;;;;;
153;0,422367328;0,147462642;-0,155265343;1;;;;;;;;;;;;;
154;0,581128371;0,16474566;0,162256741;1;;;;;;;;;;;;;
155;0,795976821;0,279564675;0,591953642;1;;;;;;;;;;;;;
