;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp
91;-1,277345642;0,32612014;0,277345642;1;-0,396947146;0,297669832;-0,206105708;1;0,31747423;0,491912742;-2,587371148;1
92;-0,68215023;0,306821102;-0,31784977;1;-0,715760485;0,327784236;0,43152097;1;-0,411999907;0,554593707;1,059999534;1
93;-0,452928589;0,25502966;-0,547071411;0;-0,77079355;0,273420139;0,541587101;1;-0,887235746;0,471338847;3,43617873;1
94;-0,478349865;0,408628409;-0,521650135;1;-0,303193945;0,344321952;-0,393612111;1;-0,556133489;0,594758699;1,780667447;1
95;-0,962812355;0,395038706;-0,037187645;1;-0,041646771;0,334004341;-0,916706457;1;-0,692447187;0,631367189;2,462235935;1
96;-0,931463589;0,246397287;-0,068536411;1;-0,714127551;0,260855189;0,428255102;1;0,12190371;0,37708679;-1,609518552;1
97;-0,956533417;0,330168454;-0,043466583;1;-1,266586504;0,380332231;1,533173008;0;-0,210530989;0,597098364;0,052654944;1
98;-1,325892729;0,282182854;0,325892729;1;-0,333166058;0,270868782;-0,333667884;1;0,238376569;0,458920007;-2,191882846;1
99;-1,439505131;0,356900896;0,439505131;1;-0,166973205;0,297634922;-0,66605359;1;0,265032903;0,573141299;-2,325164513;1
100;-0,557435747;0,26512271;-0,442564253;1;-0,395218896;0,251716205;-0,209562208;1;-0,97990503;0,454061586;3,899525149;1
101;-1,078917162;0,359424537;0,078917162;1;-0,560285281;0,338319555;0,120570562;1;-0,258584021;0,572578468;0,292920106;1
102;-0,9098374;0,273203341;-0,0901626;1;-0,751481732;0,328973291;0,502963465;1;-0,845916835;0,503117823;3,229584175;1
103;-1,070117551;0,318921799;0,070117551;1;-0,182101316;0,286704443;-0,635797368;1;-0,002269827;0,534620059;-0,988650864;1
104;-1,197822032;0,339304924;0,197822032;1;-0,722931081;0,31500038;0,445862161;1;0,018188151;0,524567671;-1,090940753;1
105;-0,830001442;0,278353678;-0,169998558;1;-0,86666366;0,303678186;0,73332732;1;-0,323645402;0,509462371;0,618227009;1
106;-0,955014766;0,255159129;-0,044985234;1;-0,62291726;0,289783336;0,24583452;1;-0,354300953;0,455544195;0,771504764;1
107;-1,07506448;0,28869349;0,07506448;1;-0,060154469;0,267990776;-0,879691063;1;-0,324285914;0,452868704;0,621429568;1
108;-0,864846266;0,3196298;-0,135153734;1;-0,452450987;0,286499293;-0,095098025;1;0,043952846;0,526488689;-1,219764232;1
109;-0,794828495;0,30712007;-0,205171505;1;-0,495224491;0,288399729;-0,009551017;1;-0,335457802;0,454774329;0,677289008;1
110;-1,304589773;0,319694633;0,304589773;1;-0,466212598;0,313193981;-0,067574804;1;-0,1981291;0,512370796;-0,009354502;1
111;-1,202531984;0,393575383;0,202531984;1;-0,850178086;0,370938382;0,700356173;1;0,013153292;0,604603267;-1,065766459;1
112;-0,999278284;0,350305725;-0,000721716;1;0,04649722;0,320535156;-1,092994439;1;-1,299897888;0,56304655;5,499489441;1
113;-1,808392845;0,352641889;0,808392845;0;-0,283925002;0,294103932;-0,432149997;1;1,151732616;0,493822421;-6,758663082;0
114;-1,166140568;0,326221462;0,166140568;1;-0,954665345;0,354207426;0,909330691;1;0,23712654;0,472227634;-2,1856327;1
115;-0,637013285;0,267156273;-0,362986715;1;-0,958580399;0,277390697;0,917160797;1;-0,568517886;0,455522636;1,842589429;1
116;-0,614219698;0,239381132;-0,385780302;1;-0,681387064;0,272862868;0,362774129;1;-0,862955003;0,442834446;3,314775015;1
117;-0,713787259;0,272459905;-0,286212741;1;-0,988751836;0,30761219;0,977503671;1;-0,417054965;0,455769008;1,085274826;1
118;-0,595429307;0,267236668;-0,404570693;1;-0,307971276;0,26989658;-0,384057449;1;-1,005104145;0,508557212;4,025520727;1
119;-1,034275605;0,325627311;0,034275605;1;-0,624199036;0,312672027;0,248398072;1;-0,062304151;0,493427894;-0,688479243;1
120;-0,874418481;0,314361279;-0,125581519;1;-0,443242055;0,30399474;-0,11351589;1;-0,674479518;0,546913199;2,372397588;1
121;-1,144985686;0,262185618;0,144985686;1;-0,629172325;0,285349805;0,258344651;1;0,248849827;0,418683354;-2,244249136;1
122;-0,676684261;0,269210294;-0,323315739;1;-0,93560703;0,334589076;0,871214061;1;-0,599349318;0,507595924;1,996746591;1
123;-0,844938095;0,333664451;-0,155061905;1;-0,191636447;0,326512518;-0,616727107;1;-1,501839507;0,586192114;6,509197533;0
124;-1,08975576;0,283337333;0,08975576;1;-0,205962651;0,265563866;-0,588074698;1;-0,701971384;0,474463083;2,509856918;1
125;-0,73668512;0,295140562;-0,26331488;1;-0,667510123;0,291392108;0,335020246;1;-0,300830027;0,490610397;0,504150134;1
126;-0,754824084;0,509185083;-0,245175916;1;-0,657515778;0,355579848;0,315031556;1;0,300550377;0,584701963;-2,502751884;1
127;-1,216868822;0,316223028;0,216868822;1;-0,14421807;0,302418764;-0,711563861;1;-0,299518746;0,545907437;0,497593729;1
128;-0,807643489;0,270764409;-0,192356511;1;-0,74681516;0,317598256;0,49363032;1;-0,560428663;0,482459779;1,802143314;1
129;-1,26029532;0,318288936;0,26029532;1;-0,191482619;0,278154059;-0,617034762;1;-0,083216553;0,477652988;-0,583917237;1
130;-1,217261929;0,334151769;0,217261929;1;-0,621781754;0,284366617;0,243563507;1;0,330762289;0,516360736;-2,653811445;1
131;-1,542491033;0,388343376;0,542491033;1;0,3034558;0,346869799;-1,606911601;0;-0,129682394;0,572230476;-0,351588029;1
132;-0,62357307;0,41190868;-0,37642693;1;-0,552830881;0,348451818;0,105661763;1;-0,750616597;0,632136386;2,753082987;1
133;-1,819583585;0,41928063;0,819583585;1;0,103428809;0,337000783;-1,206857618;1;1,05771072;0,606960337;-6,2885536;0
134;-0,924312672;0,275468606;-0,075687328;1;-0,682063841;0,309390578;0,364127682;1;-0,378252452;0,476426112;0,891262261;1
135;-1,024270578;0,305411018;0,024270578;1;-0,568389971;0,292737511;0,136779943;1;0,256367388;0,47067562;-2,281836941;1
136;-1,665596401;0,386962877;0,665596401;1;0,021061039;0,329409612;-1,042122078;1;-0,130072789;0,581999726;-0,349636054;1
137;-1,716257413;0,440012547;0,716257413;1;-0,276171155;0,370534938;-0,447657689;1;-0,00433806;0,690622727;-0,9783097;1
138;-1,07138507;0,367030335;0,07138507;1;-0,268594048;0,318877975;-0,462811904;1;-0,464009872;0,576114147;1,320049361;1
139;-1,380180559;0,338332986;0,380180559;1;0,071097654;0,279597661;-1,142195308;0;0,088214946;0,475891526;-1,441074732;1
140;-1,240208382;0,281580478;0,240208382;1;-0,31647798;0,274108379;-0,367044039;1;0,165128923;0,466778578;-1,825644617;1
141;-1,001614335;0,292897942;0,001614335;1;-0,702504557;0,311059026;0,405009114;1;0,034068628;0,507465188;-1,17034314;1
142;-1,049183929;0,312335313;0,049183929;1;-0,318859394;0,306526053;-0,362281213;1;-0,370413127;0,501479243;0,852065634;1
